party_label_ka,party_id,appearances,election_ids,label_resolves_to_n_ids
„შალვა ნათელაშვილი-საქართველოს ლეიბორისტული პარტია“,labour,262,adj_2020;local_2021;parl_2020,1
„შალვა ნათელაშვილი-საქართველოს ლეიბორისტული პარტია”,labour,61,local_2021,1
„შენების მოძრაობა”,construction_movement_2017,475,local_2017,1
„შეცვალე საქართველო”,change_georgia,211,parl_2020,1
“ჩვენები - სახლხო პარტია“,chvenni_peoples,28,adj_2016,1
„ჩვენი გაერთიანებული საქართველო“,georgia_party,1,local_2021,2
„ჩვენი გაერთიანებული საქართველო“,our_georgia,138,adj_2024;local_2025,2
„ჩვენი გაერთიანებული საქართველო”,georgia_party,2,local_2021,1
„ჩვენი საქართველო - სოლიდარობის ალიანსი“,alliance,20,adj_2020,1
"„ძლიერი საქართველო - ლელო, ხალხისთვის, თავისუფლებისთვის!“",strong_georgia,27,adj_2024,1
"„ძლიერი საქართველო-ლელო, ხალხისთვის, თავისუფლებისთვის!”",strong_georgia,14,parl_2024,1
"""ჯონდი ბაღათურია - ქართული დასი""",georgian_group,173,parl_2012,1
„ჯონდი ბაღათურია - ქართული დასი”,georgian_group,2,parl_2016,1
„ჯონდო ბაღათურია - ქართული დასი”,georgian_troupe,127,parl_2020,1
(პარტია) „თეთრები”,whites,133,parl_2020,1
1. „მესამე ძალა-სტრატეგია აღმაშენებელი”,third_force,8,local_2021,1
10. „შალვა ნათელაშვილი-საქართველოს ლეიბორისტული პარტია”,labour,3,local_2021,1
19. „ევროპელი სოციალისტები”,european_socialists,4,local_2021,1
2. „ევროპული საქართველო-მოძრაობა თავისუფლებისთვის”,european_georgia,17,local_2021,1
21.  „პროგრესი და თავისუფლება”,progress_freedom,2,local_2021,1
25. გახარია - საქართველოსთვის,gakharia,105,local_2021,1
36. „გირჩი”,girchi,1,local_2021,1
38. „თამაზ მეჭიაური ერთიანი საქართველოსთვის”,mechiauri_united,6,local_2021,1
41. ქართული ოცნება - დემოკრატიული საქართველო,gd,1315,local_2021,1
44. „სახალხო პარტია”,peoples_party,3,local_2021,1
48. „ანა დოლიძე - ხალხისთვის”,for_people,1,local_2021,1
5. „ერთიანი ნაციონალური მოძრაობა”,unm,487,local_2021,1
7. „ალეკო ელისაშვილი-მოქალაქეები”,citizens,1,local_2021,1
"8. „დავით თარხან-მოურავი, ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი”",patriots,5,local_2021,1
9.  „ლელო”,lelo,25,local_2021,1
ამომრჩეველთა საინიციატივო ჯგუფი,andriadze,1,pres_2018,6
ამომრჩეველთა საინიციატივო ჯგუფი,chichinadze,1,pres_2018,6
ამომრჩეველთა საინიციატივო ჯგუფი,nonikashvili,1,pres_2018,6
ამომრჩეველთა საინიციატივო ჯგუფი,shashiashvili,1,pres_2018,6
ამომრჩეველთა საინიციატივო ჯგუფი,tediashvili,1,pres_2018,6
ამომრჩეველთა საინიციატივო ჯგუფი,zourabichvili,2,pres_2018,6
"არასაპარლამენტო ოპოზიცია (კახა კუკავა, ფიქრია ჩიხრაძე)",nonparliamentary_opposition_2014,1915,local_2014,1
"არასაპარლამენტო ოპოზიცია (კახა კუკავა,ფიქრია ჩიხრაძე)",nonparliamentary_opposition_2014,2,local_2014,1
"არასაპარლამენტო ოპოზიცია(კახა კუკავა,ფიქრია ჩიხრაძე)",nonparliamentary_opposition_2014,1,local_2014,1
ახალი მემარჯვენეები,gamkrelidze,1,pres_2008,1
"ბაქრაძე, უგულავა - ევროპული საქართველო",european_georgia,117,local_2017,1
"ბაქრაძე, უგულავა, ევროპული საქართველო",european_georgia,59,local_2017,1
ბიძინა ივანიშვილი - ქართული ოცნება,gd,85,parl_2012,1
"ბლოკი
„თვითმმართველობა ხალხს!""",self_governance_people_2014,1,local_2014,1
ბლოკი „ერთიანი ნაციონალური მოძრაობა-გაერთიანებული ოპოზიცია „ძალა ერთობაშია“,unm,36,adj_2020,1
"ბლოკი „ერთიანი ნაციონალური მოძრაობა""",unm,1,local_2014,1
ბორჩალოს მაზრის მცხოვრებ მუსულმანთა ჯგუფი,borchalo_1919,5,parl_1919,1
გაერთიანებული ოპოზიცია,gachechiladze,1,pres_2008,1
"გაერთიანებული ოპოზიცია (ეროვნული საბჭო, მემარჯვენეები)",united_opposition_2008,17,parl_2008,1
გახარია - საქართველოსთვის,gakharia,2370,local_2021,1
გახარია საქართველოსთვის,gakharia,115,parl_2024,1
გიორგი გაჩეჩილაძე - მწვანეთა პარტია,greens_2014,225,local_2014,1
გიორგი გაჩეჩილაძე - მწვანეთა პარტიასახელი და გვარი,greens_2014,1,local_2014,1
გიორგი გაჩეჩილაძე − მწვანეთა პარტია,greens_2014,42,local_2014,1
გიორგი ვაშაძე - ერთობა ახალი საქართველო,vashadze_2017,60,local_2017,1
გიორგი თარგამაძე – ქრისტიან-დემოკრატები,christian_democrats_2008,6,parl_2008,1
გიორგი თარგამაძე-ქრისტიან დემოკრატები,christian_democrats_2008,39,adj_2008,1
გირჩი,girchi,244,local_2025;parl_2020,2
გირჩი,japaridze,1,pres_2018,2
დავით თარხან - მოურავი - საქართველოს პარტიოტთა ალიანსი,georgia_party,1,local_2014,1
დავით თარხან - მოურავი - საქართველოს პატრიოპთა ალიანსი,georgia_party,1,local_2014,1
დავით თარხან - მოურავი - საქართველოს პატრიოტთა ალიანსი,patriots,36,local_2014,1
დავით თარხან - მოურავი საქართველოს პატრიოტთა ალიანსი,patriots,4,local_2014,1
"დავით თარხან მოურავი, ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",patriots,64,local_2017,1
დავით თარხან-მოურავი - საქართველოს პატრიოტთა ალიანსი,patriots,630,local_2014,1
"დავით თარხან-მოურავი, ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",patriots,91,local_2017,1
"დავით თარხან-მოურავი,ირმა ინაშვილი - საქართველოს პატრიოტთა ალიანსი",patriots,35,adj_2016,1
დავით თარხან‐მოურავი − საქართველოს პატრიოტთა ალიანსი,patriots,311,local_2014,1
დავით თევზაძე - საქართველოს მშვიდობისათვის,peace_georgia_2016,106,parl_2016,1
დავით ჭიჭინაძე - ტრიბუნა,tribuna,187,local_2021,1
დამოუკიდებელთა (უპარტიო) კავშირი,indie_1919,10,parl_1919,1
დამოუკიდებელი,independent,21,local_2017,1
დამოუკიდებელი არასაპარლამენტო,independent,1,local_2014,1
დამოუკიდებელი დავით თარხან - მოურავი -,independent,2,local_2014,1
დამოუკიდებელი შალვა ნათელაშვილი -,independent,1,local_2014,1
დემოკრატიული მოძრაობა -  ერთიანი საქართველო,nino_burjanadze,1,pres_2013,1
"დიმიტრი ლორთქიფანიძე, კახა კუკავა -დემოკრატიული მოძრაობა - თავისუფალი საქართველო",free_georgia,55,local_2017,1
